	Bacteroides	Faecalibacterium	Prevotella	Ruminococcus	Eubacterium	Clostridium	Bifidobacterium	Lactobacillus	Enterobacteriaceae	Akkermansia
Sample_012	0.31247551397732487	0.015528435065567798	0.003353004310712168	0.030492279088486073	0.12743977876251258	0.1934993848489282	0.02245354076591347	0.06499444805616501	0.002208814759830327	0.22755480036455938
Sample_013	0.18378218292068396	0.0009740935932433418	0.07863264224871018	0.05637016150627734	0.28344598171325	0.029806103874449087	0.013989053096885104	0.13904582518933611	0.03751252378554915	0.17644143207161575
Sample_014	0.07945527487708141	0.03862300780623471	0.07563873220004401	0.15932080104755136	0.03377466594819238	0.022226362976808765	0.026046180554794525	0.08681237701331426	0.373511816024341	0.10459078155163753
Sample_015	0.040498484837471795	0.027839592689457095	0.08654895260504986	0.14256549104850158	0.16695176347139473	0.013016447954116356	0.2494314185815123	0.18320687068184047	0.059553955314621196	0.030387022816034538
Sample_016	0.003846960341428704	0.028747368737370167	0.1571168916466485	0.15635008938990191	0.11829632876819811	0.06685702396295483	0.24635269986918554	0.005682295664645589	0.11005847358305029	0.10669186803661633
Sample_017	0.08404262184803729	0.16410515529819605	0.1504246234002045	0.006000920807406569	0.04617790979393297	0.10641769415505663	0.19204296313910973	0.1964620239311516	0.0001259350835031306	0.054200152543401374
Sample_018	0.08711940185192364	0.11585743574874749	0.04856959191315925	0.05833602337673156	0.04610377835761989	0.08630069520476476	0.03983103604322369	0.19344386469451127	0.20807210488304478	0.11636606792627366
Sample_019	0.08668873322951696	0.36128576504146925	0.1387797775405126	0.047078903507072126	0.18277428453451686	0.026123017451311657	0.06475416627262634	0.005755279659015792	0.07007727278435583	0.016682799979602623
Sample_020	0.04039620445381946	0.24547142043308853	0.16354875815707126	0.020624229405847818	0.009490129212578084	0.023686967841519187	0.18529543286531197	0.16193375275439895	0.14614195038963335	0.003411154486731565
Sample_021	0.06380356172001148	0.08557306848275889	0.0017707539340183554	0.13653776533832024	0.03900503514888023	0.30030319269416694	0.06693877897523975	0.04358816683622471	0.10644911493685028	0.15603056193352913
Sample_022	2.1326140927725038e-05	0.008561762300439285	0.13709636719946333	0.09531747476386639	0.025967499286214942	0.033053572531766405	0.015404864686478663	0.3533506327478482	0.1693381507733786	0.1618883495696163
Sample_023	0.011862971921545095	0.10498572430832309	0.06506417535586984	0.15492236810271348	0.14894244240780746	0.08979961314554337	0.1108762418535799	0.08814263535348864	0.17495309372133044	0.05045073382979891
Sample_024	0.14514122207559607	0.06148476230578421	0.04288535265652917	0.08512819800753677	0.0640247585275671	0.14602922941550497	0.07137007105831192	0.15277621523520443	0.05204588187613136	0.179114308841834
Sample_025	0.19017461564377294	0.019230238659578066	0.027015735404113256	0.04047696827429149	0.16261228597099658	0.1553951904291576	0.017803494297841536	0.03487742298806742	0.20359952106192528	0.148814527270256
Sample_026	0.06643994944069609	0.1873998884719717	0.02680291498287422	0.0794382386995319	0.1222911191996337	0.06921982763466548	0.09162286512107684	0.09678342398834625	0.143907850898105	0.11609392156309895
Sample_027	0.25914381161237443	0.06786731751291093	0.023363569991056155	0.0254191964631739	0.14880608181221072	0.04478005045463473	0.08404272771561318	0.08178287121859862	0.11461063920224049	0.15018373401718685
Sample_028	0.06975655332277408	0.04105276468425106	0.2389228344793606	0.02211815269922294	0.1762720857735507	0.0854663345426552	0.03984626038795529	0.10909894218890884	0.07529652861072858	0.14216954331059262
Sample_029	0.12043735292938296	0.019178466429619456	0.12999091834518325	0.20080626912832425	0.06449685812523082	0.08384191304700153	0.06790215228868361	0.13360235517702362	0.08065754274254783	0.09908617178700248
Sample_030	0.07431881369359622	0.1777060450736793	0.02437937876570059	0.020738784725762887	0.0986481167310023	0.09934153415318829	0.0690722657658175	0.2666416396743189	0.08244770398594974	0.08670571743098412
Sample_031	0.019373948725554313	0.1929423501768537	0.2425355674814168	0.12415939674427187	0.04722609359343048	0.026778541898932643	0.16059289219532763	0.12510771137387314	0.04516388465278271	0.016119613157556643
Sample_032	0.14550084892134088	0.12474180423776411	0.025875009086935286	0.024453648020641497	0.0972719490531948	0.0971720200486093	0.04784981109765641	0.18031571218945228	0.049835350836987584	0.20698384650741786
Sample_033	0.1973369430851525	0.15068118710278555	0.014568675828756619	0.11149256478140875	0.04268774463875528	0.12676810082877008	0.03638117939553041	0.2148883537402373	0.03409866501089053	0.07109658558771279
Sample_034	0.03537518803076486	0.010693429095658563	0.030064129171701252	0.20510371765889343	0.1560082142059974	0.20817471996427492	0.0642837559640344	0.07404074010420926	0.099522057233441	0.11673404857102493
Sample_035	0.09488500252035949	0.1140787019643021	0.03183646298626142	0.028499503148827196	0.006896104577541487	0.007713671157828016	0.026285942840579595	0.26236759447462676	0.041712165019353695	0.38572485131032025
Sample_036	0.07027627228211362	0.029870279008765963	0.093526795712741	0.008173771820583955	0.06636907422708029	0.03465585237953709	0.0006117854468170532	0.19545921457996984	0.37711632790843375	0.12394062663395743
Sample_037	0.07855376200782943	0.04525905872036045	0.12425947953528872	0.14875023558477224	0.024805012174807486	0.024104523024627275	0.02146568895522424	0.06564401083761581	0.08667633410707289	0.38048189505240143
Sample_038	0.10692790622173518	0.04609615227361482	0.17690588707935676	0.06737328185132635	0.10577482989508377	0.19679980362742028	0.1271185601152827	0.0019567229530095065	0.07551382242851584	0.09553303355465487
Sample_039	0.05480115139362071	0.09202326394988357	0.08839385567134633	0.011794798705471551	0.0033436328011745634	0.025450969313446245	0.16367155841181374	0.10617478076883194	0.09279505755857516	0.3615509314258361
Sample_040	0.060032368234596525	0.27757334634272784	0.27303287194312975	0.16478140269574626	0.01896921633008109	0.04156995125214648	0.07442087061110432	0.023274345606456772	0.012962349000750389	0.05338327798326043
Sample_041	0.2593316878964923	0.16132350254376704	0.09288434662297407	0.07219122216774569	0.036371803560990984	0.00033870254280843267	0.029497270125791265	0.05098137398228325	0.2294093645775271	0.06767072597961983
Sample_042	0.16560684329502162	0.06721094988157597	0.0033239499320001954	0.20041442608959514	0.14494585867195456	0.041098704259229	0.09181735925122016	0.17451867817041242	0.03936527796287069	0.07169795248612029
Sample_043	0.02054290347971584	0.12671054012561986	0.07506566555384582	0.20332702442481487	0.07138189698144572	0.22406626692913212	0.06839997917294544	0.16629370535392904	0.01749341426358949	0.026718603714961944
Sample_044	0.23701285976777972	0.21829907775620128	0.1196905173369784	0.034906018750128186	0.0024695393240869155	0.07934666704994339	0.06462218282018495	0.034109390798017815	0.1924435138656472	0.017100232531032142
Sample_045	1.5005978361745257e-07	0.1611472828511681	0.07370095333853509	0.10198154131387686	0.0356332390062602	0.07205241382856252	0.1435641455036833	0.029311366293737925	0.20255711845495097	0.18005178934944144
Sample_046	0.13192124388706064	0.21164074512263548	0.056900738901975646	0.11206736769562788	0.03242681838167572	0.004960896405233435	0.14977376647421492	0.23974700038486838	0.044788782409149366	0.015772640337558406
Sample_047	0.24966134933106351	0.043450845868221365	0.027628159798141087	0.022120698624146028	0.1305981096765441	0.10378194902103482	0.13512919971551937	0.04921011134097649	0.0724665731365	0.16595300348785316
Sample_048	0.08999286858692346	0.07964827803148507	0.004898668045892617	0.1071124640036125	0.150351074360954	0.11657865879311376	0.07172831896054596	0.03297218926989534	0.23104956902793813	0.1156679109196392
Sample_049	0.2621558830781415	0.13859401503833116	0.12485270329093716	0.03171197083417248	0.041057558025858185	0.05610817275950092	0.01494986248410625	0.13935506576599888	0.17308770154709427	0.018127067175859105
Sample_050	0.10464700853581275	0.13397256265463414	0.2115132150403245	0.0232121880069923	0.02612027190710268	0.2547077857756846	0.07843698884806324	0.0007586132708822374	0.07252150126421195	0.09410986469629157
